Name,Email,Phone,Status,Tags,Created
"Patrick O'Brien & Sons, LLC","obrien+test@example.com","(555) 123-4567","LEAD","","1/14/2026"
"TIMESTAMP_TEST","timestamp@test.com","-","LEAD","","1/12/2026"
"STACK_TEST_2","stack-test-2@example.com","-","ACTIVE","","1/12/2026"
"STACK_TEST_1","stack-test-1@example.com","-","LEAD","","1/12/2026"
"FINAL_DISMISS_TEST","final-dismiss@example.com","-","LEAD","","1/12/2026"
"MANUAL_DISMISS_TEST","manual-dismiss@example.com","-","LEAD","","1/12/2026"
"TOAST_DISMISS_TEST","toast-dismiss@example.com","-","LEAD","","1/12/2026"
"TOAST_TEST_159","toast-test-159@example.com","-","LEAD","","1/12/2026"
"Loading Test Client","loading@test.com","-","LEAD","","1/12/2026"
"Toast Test Client - Updated","toast-test@example.com","-","LEAD","","1/12/2026"
"Server Validation Test","valid@server-test.com","-","LEAD","","1/12/2026"
"   ","whitespace@test.com","-","LEAD","","1/12/2026"
"Test Server Validation","invalid-email-format","-","LEAD","","1/12/2026"
"Error Clear Test Client","valid@test.com","-","LEAD","","1/12/2026"
"Active Urgent Client","active-urgent@test.com","-","ACTIVE","urgent","1/7/2026"
"Christopher Anderson","christopher@test.com","-","LEAD","","1/7/2026"
"John Smith","johnsmith134@test.com","-","LEAD","","1/7/2026"
"Test O'Brien","obrien@test.com","-","LEAD","","1/7/2026"
"Pagination Test 10","pagtest10@test.com","-","ACTIVE","","1/7/2026"
"Pagination Test 9","pagtest9@test.com","-","LEAD","","1/7/2026"
"Pagination Test 8","pagtest8@test.com","-","ACTIVE","","1/7/2026"
"Pagination Test 7","pagtest7@test.com","-","LEAD","","1/7/2026"
"Pagination Test 6","pagtest6@test.com","-","ACTIVE","","1/7/2026"
"Pagination Test 5","pagtest5@test.com","-","LEAD","","1/7/2026"
"Pagination Test 4","pagtest4@test.com","-","ACTIVE","","1/7/2026"
"Pagination Test 3","pagtest3@test.com","-","LEAD","","1/7/2026"
"Pagination Test 2","pagtest2@test.com","-","ACTIVE","","1/7/2026"
"Pagination Test 1","pagtest1@test.com","-","LEAD","","1/7/2026"
"Duplicate Test Client 2","duplicate@test.com","-","LEAD","","1/7/2026"
"Duplicate Test Client 1","duplicate@test.com","-","LEAD","","1/7/2026"
"WORKFLOW_TEST_69","workflow69@test.com","(555) 069-0069","LEAD","","1/7/2026"
